,Unnamed: 0,state,year,EV Registrations,Total Vehicles,EV Share (%),Stations,Total Charging Outlets,Level 1,Level 2,DC Fast,fuel_economy,Incentives,Number of Metro Organizing Committees,Population_20_64,Education_Bachelor,Labour_Force_Participation_Rate,Unemployment_Rate,Bachelor_Attainment,Per_Cap_Income,affectweather,devharm,discuss,exp,localofficials,personal,reducetax,regulate,worried,price_cents_per_kwh,gasoline_price_per_gallon,Total,Trucks,Trucks_Share,Party
96,96,Vermont,2022,5300,595000,0.89,351,898,35,758,105,28.46875,54.0,1.0,371621.0,148466.0,81.9,2.4,39.95,42251.0,67.6,70.95,39.6,46.4,54.24,42.73,67.06,76.32,65.55,16.99,2.958,625664.0,417728.378,66.77,Democratic
97,97,Virginia,2022,56600,7642100,0.74,1221,3643,237,2522,884,28.46875,43.0,12.0,5119025.0,1997799.0,80.4,3.3,39.03,47199.0,64.33,69.39,36.75,46.1,57.95,45.87,69.64,75.32,65.58,10.75,2.908,7763287.0,4596701.178,59.21,Democratic
98,98,Washington,2022,104100,6802500,1.53,1784,4533,209,3511,813,28.46875,79.0,11.0,4660421.0,1695565.0,79.9,3.8,36.38,50764.0,66.96,72.74,42.35,49.86,56.47,46.96,68.23,75.36,67.42,9.05,4.092,7835063.0,4753229.177,60.67,Democratic
99,99,West Virginia,2022,1900,1488900,0.13,137,385,19,259,107,28.46875,8.0,6.0,1000729.0,235223.0,69.2,4.5,23.51,31922.0,42.31,52.47,25.19,28.67,42.84,31.17,51.22,62.53,45.9,9.74,2.993,1652896.0,1130585.75,68.4,Republican
100,100,Wisconsin,2022,15700,5476200,0.29,470,1101,6,824,271,28.46875,46.0,12.0,3393120.0,1056108.0,81.9,2.6,31.12,40188.0,59.72,65.79,33.29,39.63,50.62,39.52,63.83,73.72,58.81,11.95,2.846,5681673.0,3657963.478,64.38,Democratic
101,101,Wyoming,2022,800,644400,0.12,86,214,6,114,94,28.46875,17.0,2.0,328690.0,89499.0,81.4,3.6,27.23,38114.0,46.03,53.54,29.62,29.26,40.09,31.09,52.29,62.73,49.27,8.24,3.046,890285.0,676313.3534,75.97,Republican
102,102,Alabama,2021,4700,4747600,0.1,277,682,35,529,118,28.51977401,13.0,12.0,2889360.0,731521.0,72.5,5.1,25.32,30608.0,53.64,61.12,27.3,38.02,54.74,40.62,60.92,67.15,57.56,10.18,2.49,5479971.0,3287997.977,60.0,Republican
103,103,Alaska,2021,1300,569100,0.23,52,94,3,75,16,28.51977401,15.0,2.0,433224.0,125339.0,78.2,6.6,28.93,39509.0,62.25,67.51,39.19,41.39,55.13,43.2,63.35,69.14,63.23,20.02,3.264,686142.0,511500.6377,74.55,Republican
104,104,Arizona,2021,40700,6359200,0.64,890,2259,10,1825,424,28.51977401,50.0,8.0,4134524.0,1184134.0,76.7,5.4,28.64,36295.0,64.22,67.54,37.3,46.52,57.36,47.8,62.91,71.21,65.73,10.73,2.977,6064542.0,3504627.455,57.79,Democratic
105,105,Arkansas,2021,2400,2690900,0.09,164,463,3,394,66,28.51977401,22.0,7.0,1713090.0,393003.0,74.5,5.3,22.94,29252.0,55.89,63.91,29.34,38.58,54.65,40.61,62.73,67.11,59.38,9.1,2.507,3214781.0,2148142.694,66.82,Republican
106,106,California,2021,563100,35000500,1.61,14607,41237,648,33723,6824,28.51977401,145.0,17.0,23477035.0,7763614.0,77.4,8.0,33.07,42396.0,70.14,74.26,42.65,53.36,61.89,54.32,71.06,74.12,72.7,19.65,4.296,31349073.0,16172731.89,51.59,Democratic
107,107,Colorado,2021,37000,5286400,0.7,1619,3992,89,3320,583,28.51977401,92.0,5.0,3537735.0,1444892.0,81.8,5.0,40.84,44617.0,67.09,69.03,40.05,46.6,57.07,46.4,62.76,71.71,65.98,10.9,2.863,5096394.0,3406756.302,66.85,Democratic
108,108,Connecticut,2021,13300,2872000,0.46,533,1430,76,1040,312,28.51977401,41.0,8.0,2124677.0,835536.0,81.0,6.3,39.33,48146.0,69.9,72.09,38.32,48.61,59.81,48.3,70.76,75.65,69.66,18.32,2.763,2756485.0,1543765.35,56.0,Democratic
109,109,Delaware,2021,3000,909600,0.33,134,314,5,218,91,28.51977401,26.0,3.0,567188.0,185120.0,77.1,5.5,32.64,38797.0,66.67,69.2,34.1,49.64,61.26,48.62,64.14,72.62,64.42,10.5,2.692,472175.0,266285.9505,56.4,Democratic
110,110,District Of Columbia,2021,3700,321700,1.15,291,826,43,742,41,28.51977401,,1.0,438542.0,258968.0,82.1,7.7,59.05,65808.0,79.67,80.9,45.49,60.78,70.29,58.87,73.21,79.77,76.01,12.81,2.883,,,,
111,111,Florida,2021,95600,17729600,0.54,2636,6748,372,5229,1147,28.51977401,68.0,27.0,12407546.0,3776233.0,76.9,5.4,30.43,36196.0,63.55,67.8,33.85,46.83,62.08,48.11,64.85,72.53,64.79,10.67,2.83,19180165.0,10628886.76,55.42,Republican
112,112,Georgia,2021,34000,9399700,0.36,1585,3947,230,3131,586,28.51977401,29.0,15.0,6374393.0,2029894.0,76.6,5.3,31.84,35086.0,63.11,62.21,32.18,47.08,59.71,47.98,65.14,71.04,63.9,10.43,2.641,9072876.0,5324556.837,58.69,Democratic
113,113,Hawaii,2021,14200,1080800,1.31,386,839,30,724,85,28.51977401,28.0,2.0,825335.0,266711.0,79.6,7.4,32.32,38614.0,64.47,67.89,35.45,45.78,58.75,46.77,65.83,71.87,65.23,30.31,4.049,1235360.0,743908.4992,60.22,Democratic
114,114,Idaho,2021,3500,1911100,0.18,139,345,10,255,80,28.51977401,32.0,5.0,1063392.0,292245.0,78.0,3.0,27.48,33841.0,58.23,63.53,34.09,39.64,53.82,40.46,58.71,67.83,59.36,8.17,2.997,1976199.166,1355430.762,68.59,Republican
115,115,Illinois,2021,36500,10027700,0.36,1079,2764,60,2197,507,28.51977401,57.0,11.0,7430060.0,2614998.0,79.6,7.0,35.19,39794.0,67.76,70.12,36.9,46.52,59.63,48.03,70.29,75.82,67.91,10.14,3.063,11003729.0,6535648.611,59.39,Democratic
116,116,Indiana,2021,10400,6097100,0.17,357,971,8,684,279,28.51977401,55.0,12.0,3912332.0,1059204.0,78.3,4.6,27.07,33054.0,58.02,61.62,30.03,38.23,53.47,39.8,59.73,68.96,56.89,10.36,2.847,5552566.0,3512603.571,63.26,Republican
117,117,Iowa,2021,3700,3110700,0.12,281,584,27,399,158,28.51977401,40.0,8.0,1794571.0,514165.0,82.3,3.4,28.65,35715.0,61.1,66.22,33.18,38.79,53.59,39.79,63.86,69.37,60.96,9.13,2.672,3839312.0,2506932.98,65.3,Republican
118,118,Kansas,2021,4500,2592800,0.17,493,1017,14,893,110,28.51977401,12.0,4.0,1655394.0,538657.0,80.4,3.9,32.54,35028.0,60.55,62.88,32.13,40.14,53.77,40.84,60.24,67.85,59.44,10.47,2.562,2606313.0,1656795.326,63.57,Republican
119,119,Kentucky,2021,4200,4016500,0.1,225,532,24,403,105,28.51977401,25.0,5.0,2598395.0,658702.0,72.9,4.9,25.35,30728.0,53.15,59.41,28.22,36.36,52.04,37.97,55.66,66.36,54.83,9.12,2.588,4408730.0,2730650.078,61.94,Republican
120,120,Louisiana,2021,3200,3820000,0.08,159,385,24,280,81,28.51977401,18.0,8.0,2657441.0,642800.0,72.3,7.4,24.19,30117.0,57.07,60.07,28.68,39.98,54.47,42.3,60.3,66.52,58.38,8.82,2.458,3862489.789,2451249.355,63.46,Republican
121,121,Maine,2021,3000,1234700,0.24,301,639,24,480,135,28.51977401,18.0,4.0,795561.0,260299.0,78.2,4.4,32.72,38483.0,65.18,66.54,35.15,44.99,55.94,42.73,59.77,72.15,60.45,13.96,2.695,1387656.0,910806.4456,65.64,Democratic
122,122,Maryland,2021,25600,5051200,0.51,1257,3430,47,2796,587,28.51977401,65.0,4.0,3648504.0,1438256.0,81.2,5.7,39.42,46500.0,72.4,74.36,40.12,51.86,65.01,52.35,74.44,76.35,72.39,11.48,2.777,4910674.0,2713670.606,55.26,Democratic
123,123,Massachusetts,2021,30500,5423200,0.56,2176,4871,71,4370,430,28.51977401,66.0,10.0,4194456.0,1840485.0,81.9,6.2,43.88,49746.0,73.2,73.53,41.67,50.85,61.12,49.61,70.81,77.35,71.1,19.06,2.676,5207052.0,3064884.515,58.86,Democratic
124,124,Michigan,2021,17500,8398200,0.21,817,1799,24,1373,392,28.51977401,44.0,13.0,5807888.0,1727833.0,76.5,6.6,29.75,35353.0,64.45,66.25,33.64,43.64,57.57,43.95,66.35,73.71,62.47,12.93,2.905,9556452.0,6405719.823,67.03,Democratic
125,125,Minnesota,2021,15000,5209500,0.29,586,1385,123,1027,235,28.51977401,124.0,5.0,3293062.0,1214630.0,84.1,4.5,36.88,41753.0,65.87,69.38,36.07,43.45,56.07,43.06,65.04,71.5,64.07,11.08,2.704,5511960.0,3545212.805,64.32,Democratic
126,126,Mississippi,2021,1300,2729200,0.05,112,433,139,222,72,28.51977401,18.0,3.0,1670491.0,369332.0,71.2,6.3,22.11,26941.0,55.49,58.36,28.49,41.7,57.25,44.19,65.52,69.33,61.39,9.5,2.4,2385768.0,1450174.755,60.78,Republican
127,127,Missouri,2021,10000,5557900,0.18,1047,2188,16,1936,236,28.51977401,57.0,8.0,3530751.0,1061665.0,78.3,4.4,30.07,34593.0,59.85,63.12,31.51,40.44,54.98,40.99,61.41,68.34,59.66,9.85,2.572,5603939.0,3529205.166,62.98,Republican
128,128,Montana,2021,1600,989600,0.16,75,212,3,107,102,28.51977401,24.0,3.0,624418.0,197795.0,78.0,3.7,31.68,36020.0,58.98,63.98,35.67,37.18,51.73,38.65,60.25,68.22,59.94,9.5,2.86,2140014.0,1294060.047,60.47,Republican
129,129,Nebraska,2021,2700,1928700,0.14,182,377,7,290,80,28.51977401,18.0,3.0,1103181.0,358816.0,83.7,2.5,32.53,36227.0,58.26,62.52,31.92,37.8,52.12,39.25,61.53,67.98,59.31,8.84,2.725,1933528.0,1268787.263,65.62,Republican
130,130,Nevada,2021,17400,2477400,0.7,451,1361,16,1001,344,28.51977401,23.0,4.0,1858637.0,460470.0,77.4,9.2,24.77,34933.0,64.55,68.42,36.3,46.35,59.16,48.09,63.22,71.17,65.33,8.58,3.454,2676143.0,1546093.313,57.77,Democratic
131,131,New Hampshire,2021,4000,1378200,0.29,164,357,6,246,105,28.51977401,33.0,4.0,827033.0,306495.0,81.8,3.5,37.06,45365.0,65.81,67.5,36.7,44.25,56.33,42.89,65.95,73.48,64.18,17.37,2.595,1417949.0,872359.0046,61.52,Democratic
132,132,New Jersey,2021,47800,7095100,0.67,749,2021,16,1450,555,28.51977401,42.0,2.0,5462964.0,2254970.0,80.6,7.6,41.28,47338.0,71.81,75.17,36.96,48.95,62.95,50.45,73.01,77.82,71.81,14.01,2.697,6249905.0,3528432.757,56.46,Democratic
133,133,New Mexico,2021,4200,1903300,0.22,189,461,10,323,128,28.51977401,39.0,4.0,1190663.0,307969.0,72.3,7.4,25.87,31043.0,64.87,69.55,38.52,46.97,58.79,49.99,63.3,70.48,67.03,9.79,2.608,1862673.0,1179754.32,63.34,Democratic
134,134,New York,2021,51900,11377800,0.46,2983,7646,42,6749,855,28.51977401,87.0,14.0,11749844.0,4459370.0,77.8,8.5,37.95,43078.0,73.6,73.89,39.92,51.09,64.25,52.56,73.4,78.19,73.35,16.11,2.789,9408795.689,5243624.078,55.73,Democratic
135,135,North Carolina,2021,25200,8912800,0.28,1120,2789,44,2250,495,28.51977401,57.0,18.0,6154794.0,2000346.0,77.3,5.5,32.5,35254.0,62.62,66.26,34.11,44.89,59.44,45.79,66.27,71.51,64.03,9.29,2.645,8707506.0,5205386.932,59.78,Republican
136,136,North Dakota,2021,400,776800,0.05,61,139,0,81,58,28.51977401,13.0,3.0,443822.0,129906.0,83.0,2.9,29.27,36497.0,52.11,54.23,29.5,31.6,46.64,33.91,53.35,63.16,52.0,8.65,2.691,925186.0,672175.1942,72.65,Republican
137,137,Ohio,2021,21200,10396200,0.2,957,2224,33,1826,365,28.51977401,34.0,14.0,6762937.0,1977817.0,78.1,5.2,29.24,35119.0,61.46,64.38,31.73,41.05,56.5,41.79,63.13,70.9,59.76,9.76,2.843,10892377.0,6356410.101,58.36,Republican
138,138,Oklahoma,2021,7100,4124100,0.17,313,1089,11,414,664,28.51977401,29.0,3.0,2272893.0,562791.0,75.3,5.6,24.76,29969.0,53.53,59.93,29.69,38.09,53.87,39.98,57.68,65.67,56.92,8.52,2.508,3353167.0,2119825.422,63.22,Republican
139,139,Oregon,2021,30300,3784800,0.8,994,2433,86,1915,432,28.51977401,92.0,8.0,2495255.0,829932.0,77.4,6.1,33.26,38975.0,67.21,72.67,41.36,48.93,58.69,47.11,63.63,72.16,65.83,8.95,3.515,4010635.0,2502434.5,62.39,Democratic
140,140,Pennsylvania,2021,26800,10277200,0.26,1148,2688,50,2151,487,28.51977401,57.0,19.0,7481859.0,2492416.0,78.6,6.1,33.31,38315.0,63.88,67.29,32.99,42.57,57.96,43.85,66.42,72.9,63.96,9.97,3.022,10927881.0,6583662.79,60.25,Democratic
141,141,Rhode Island,2021,2500,881600,0.28,255,628,82,509,37,28.51977401,28.0,1.0,650409.0,218816.0,80.6,7.2,33.64,40382.0,68.38,69.69,36.66,47.46,57.97,46.71,66.05,73.94,65.97,18.44,2.669,801654.0,436293.4034,54.42,Democratic
142,142,South Carolina,2021,7400,4865400,0.15,385,870,17,675,178,28.51977401,38.0,10.0,2957656.0,855205.0,75.4,5.3,28.91,33339.0,59.73,64.64,31.58,43.34,59.04,44.51,64.25,69.35,61.93,9.96,2.542,5091679.0,3036229.793,59.63,Republican
143,143,South Dakota,2021,700,925100,0.08,58,160,2,91,67,28.51977401,18.0,2.0,490818.0,145577.0,82.5,2.6,29.66,35135.0,58.65,62.12,31.77,38.59,54.14,39.49,63.21,68.49,60.0,10.43,2.759,1346517.0,870936.4075,64.68,Republican
144,144,Tennessee,2021,12200,6234200,0.2,685,1637,34,1369,234,28.51977401,13.0,11.0,4070563.0,1159051.0,75.7,5.0,28.47,33904.0,55.53,61.02,29.25,40.8,56.69,41.81,60.53,68.13,58.77,9.78,2.475,6712722.0,4148807.283,61.81,Republican
145,145,Texas,2021,80900,24713900,0.33,2320,5501,112,4472,917,28.51977401,111.0,23.0,17345197.0,5232066.0,77.6,5.9,30.16,34717.0,62.21,67.53,32.7,46.96,59.92,49.02,63.97,69.51,65.47,9.14,2.482,23012990.0,14812168.27,64.36,Republican
146,146,Utah,2021,16500,2937700,0.56,909,1980,17,1724,239,28.51977401,27.0,4.0,1902907.0,608470.0,80.3,3.3,31.98,35220.0,58.98,63.23,35.45,39.3,53.05,40.52,58.35,67.72,59.96,8.34,2.983,2838505.0,1709395.658,60.22,Republican
147,147,Vermont,2021,3400,602400,0.56,329,878,71,732,75,28.51977401,53.0,1.0,375293.0,152160.0,81.2,4.1,40.54,40016.0,70.72,71.21,39.09,48.4,57.57,45.96,67.99,75.71,67.21,16.34,2.777,614340.0,401499.5015,65.35,Democratic
148,148,Virginia,2021,30700,7613600,0.4,1139,3302,244,2295,763,28.51977401,40.0,12.0,5110738.0,1995320.0,79.9,4.5,39.04,43756.0,67.31,70.14,37.52,47.56,61.2,47.91,69.15,73.24,67.59,9.14,2.731,7652036.0,4449862.11,58.15,Democratic
149,149,Washington,2021,66800,6890500,0.97,1773,4325,217,3392,716,28.51977401,78.0,11.0,4631164.0,1657113.0,78.4,5.5,35.78,46177.0,69.41,73.38,42.8,49.26,59.36,48.12,67.7,73.0,68.29,8.75,3.842,7966147.0,4720498.021,59.26,Democratic
150,150,West Virginia,2021,1000,1485700,0.07,110,306,18,210,78,28.51977401,8.0,6.0,1009194.0,228758.0,68.4,5.9,22.67,30195.0,49.26,55.05,27.72,29.6,47.2,32.92,52.19,62.75,49.87,8.87,2.811,1219024.0,811820.3298,66.6,Republican
151,151,Wisconsin,2021,9300,5519900,0.17,475,961,80,687,194,28.51977401,46.0,12.0,3409664.0,1038434.0,81.1,3.4,30.46,37221.0,63.33,67.15,33.16,42.2,54.06,42.43,64.46,72.36,61.55,11.01,2.672,5769058.0,3605785.435,62.5,Democratic
152,152,Wyoming,2021,500,643300,0.08,70,184,6,101,77,28.51977401,17.0,2.0,327243.0,85738.0,80.8,3.2,26.2,37156.0,49.34,53.9,31.65,28.86,45.05,32.91,52.71,62.29,52.42,8.25,2.86,870969.0,654101.3455,75.1,Republican
153,153,Alabama,2020,2900,4683200,0.06,224,598,56,451,91,30.63414634,12.0,12.0,2856422.5,709462.5,72.55,4.9,24.835,29629.0,53.33,58.0,26.17,37.28,50.57,40.11,62.84,69.7,56.11,9.84,2.327,5320340.0,3164439.0,59.48,Republican
154,154,Alaska,2020,900,586100,0.15,37,68,0,63,5,30.63414634,12.0,2.0,437165.0,121817.5,77.65,5.95,27.875,38243.5,60.92,64.12,39.61,40.24,51.33,41.09,64.15,70.5,60.71,19.82,3.05,792826.0,586281.0,73.95,Republican
155,155,Arizona,2020,28800,6285600,0.46,573,1788,3,1412,373,30.63414634,44.0,8.0,4131411.0,1135443.0,76.4,4.95,27.48,34234.0,63.55,64.0,38.06,43.84,51.25,43.4,64.02,73.07,63.58,10.44,2.782,6053781.0,3514203.0,58.05,Democratic
156,156,Arkansas,2020,1300,2645300,0.05,112,350,2,296,52,30.63414634,21.0,7.0,1711609.5,380521.5,73.95,4.75,22.23,28263.0,55.72,60.59,28.68,39.86,48.59,38.73,65.83,70.04,56.56,8.32,2.343,2913369.0,1859091.0,63.81,Republican
157,157,California,2020,425300,34339500,1.24,7689,34924,498,28885,5497,30.63414634,124.0,17.0,23609350.0,7654456.0,77.7,6.35,32.425,40894.5,69.28,71.42,44.81,50.57,57.1,48.69,72.05,76.06,70.48,18.0,4.015,30398249.0,15310597.0,50.37,Democratic
158,158,Colorado,2020,24700,5193000,0.48,1066,3253,76,2742,435,30.63414634,82.0,5.0,3523819.0,1404598.0,81.75,4.15,39.855,42835.0,65.73,65.15,40.65,42.94,51.26,41.39,64.32,72.76,64.57,10.27,2.675,5350708.0,3518874.0,65.76,Democratic
159,159,Connecticut,2020,9000,2922800,0.31,456,1240,70,926,242,30.63414634,34.0,8.0,2116002.0,807351.5,81.2,5.65,38.15,46752.5,68.89,68.62,39.64,44.58,53.97,44.06,72.38,77.03,69.66,19.13,2.582,2867554.0,1563661.0,54.53,Democratic
160,160,Delaware,2020,1900,914000,0.21,70,206,2,131,73,30.63414634,23.0,3.0,561113.0,178465.0,78.25,4.85,31.795,37827.5,64.73,65.42,35.32,43.49,56.12,42.66,65.26,74.97,63.65,10.24,2.516,1025430.0,582338.0,56.79,Democratic
161,161,District Of Columbia,2020,2400,318300,0.75,189,694,50,611,33,30.63414634,,1.0,453180.5,260275.5,82.25,6.85,57.485,62808.0,78.64,78.36,45.0,53.65,65.3,49.52,73.82,78.66,74.27,11.9,2.694,,,,
162,162,Florida,2020,58200,17341700,0.34,1836,5564,294,4394,876,30.63414634,66.0,27.0,12330116.5,3607926.5,77.0,4.8,29.25,34541.5,63.63,64.83,34.5,44.4,57.73,43.58,67.47,74.25,64.25,10.06,2.645,18464506.0,9942703.0,53.85,Republican
163,163,Georgia,2020,23500,9097800,0.26,1008,3661,239,2930,492,30.63414634,26.0,15.0,6322911.5,1961689.5,76.7,4.85,31.015,33871.5,62.33,58.45,32.68,43.45,57.07,43.3,66.01,72.55,62.55,9.93,2.468,8829596.0,5089616.0,57.64,Democratic
164,164,Hawaii,2020,10700,1066300,1.0,320,759,14,649,96,30.63414634,26.0,2.0,820816.5,258180.5,80.15,5.25,31.45,37801.5,72.19,76.42,47.29,50.56,57.9,50.12,74.23,75.97,72.66,27.55,3.784,1244935.0,730091.0,58.64,Democratic
165,165,Idaho,2020,2300,1858400,0.12,113,281,2,196,83,30.63414634,30.0,5.0,1032917.0,274007.5,78.05,2.9,26.495,31723.5,58.8,59.73,35.37,38.79,46.46,38.9,62.95,70.37,59.45,7.99,2.801,1917808.0,1266283.0,66.03,Republican
166,166,Illinois,2020,26000,10234200,0.25,805,2360,38,1919,403,30.63414634,54.0,11.0,7454243.0,2580535.0,79.75,5.8,34.62,38761.0,67.51,66.83,37.36,42.15,54.62,42.39,70.75,76.48,63.76,9.75,2.863,10589239.0,6112939.0,57.73,Democratic
167,167,Indiana,2020,7000,6046100,0.12,282,784,0,613,171,30.63414634,52.0,12.0,3898857.0,1018318.0,78.35,4.2,26.115,32021.0,57.07,57.75,28.5,35.24,48.31,37.73,61.13,72.99,53.87,9.92,2.66,6199901.0,3845459.0,62.02,Republican
168,168,Iowa,2020,2300,3107300,0.07,188,487,27,308,152,30.63414634,39.0,8.0,1790603.0,502966.5,82.7,3.3,28.085,34411.0,60.0,62.65,33.07,35.65,49.07,36.91,64.52,70.81,58.23,8.97,2.497,3787224.0,2422496.0,63.96,Republican
169,169,Kansas,2020,3100,2592200,0.12,246,950,3,826,121,30.63414634,12.0,4.0,1654173.0,523607.0,81.0,3.6,31.655,33956.5,60.43,59.55,31.72,38.52,50.52,39.97,63.02,70.48,59.25,10.38,2.395,2603543.0,1617216.0,62.12,Republican
170,170,Kentucky,2020,2600,3967200,0.07,168,383,8,307,68,30.63414634,25.0,5.0,2593181.0,633944.0,72.85,4.65,24.445,29878.5,52.03,56.96,26.7,32.47,48.25,35.8,57.43,69.2,52.3,8.58,2.418,4459685.0,2707044.0,60.7,Republican
171,171,Louisiana,2020,2000,3821100,0.05,141,360,18,274,68,30.63414634,17.0,8.0,2677054.0,629322.5,72.35,6.3,23.515,29389.5,57.59,58.59,27.08,40.56,51.84,41.03,64.56,70.39,59.53,7.51,2.297,3861204.0,2413940.0,62.52,Republican
172,172,Maine,2020,1900,1224000,0.16,220,518,25,367,126,30.63414634,16.0,4.0,787514.5,248948.0,78.8,3.7,31.6,36280.5,64.39,63.01,37.75,42.28,52.04,38.87,62.47,76.68,63.09,13.54,2.518,1121106.0,722064.0,64.41,Democratic
173,173,Maryland,2020,18000,4835900,0.37,884,2776,33,2269,474,30.63414634,57.0,4.0,3622245.5,1403128.5,81.55,4.95,38.73,44912.5,70.58,71.04,39.74,47.37,59.93,45.5,74.61,75.94,70.81,11.15,2.596,4212244.0,2252734.0,53.48,Democratic
174,174,Massachusetts,2020,21000,5389500,0.39,1038,3415,28,3050,337,30.63414634,55.0,10.0,4178539.5,1803553.5,82.15,4.95,43.16,47993.5,72.28,70.74,42.56,45.9,55.64,42.8,72.13,78.24,70.05,18.19,2.501,5036686.0,2881438.0,57.21,Democratic
175,175,Michigan,2020,10600,8484700,0.12,567,1605,48,1213,334,30.63414634,37.0,13.0,5805440.0,1674178.5,76.9,5.65,28.84,34122.5,63.68,62.11,34.06,41.25,52.54,40.6,68.44,75.88,61.95,12.21,2.715,8453239.0,5515112.0,65.24,Democratic
176,176,Minnesota,2020,10400,5199900,0.2,445,1218,120,897,201,30.63414634,119.0,5.0,3282078.5,1186690.0,84.55,3.65,36.15,40389.0,64.86,66.45,35.97,36.88,51.02,39.1,65.77,72.39,60.85,10.57,2.527,5690749.0,3585895.0,63.01,Democratic
177,177,Mississippi,2020,800,2714500,0.03,104,344,58,228,58,30.63414634,17.0,3.0,1682070.0,353055.5,71.15,6.2,20.995,26121.0,55.23,53.77,27.14,39.01,51.81,41.47,65.76,69.44,58.09,9.13,2.243,2058975.0,1232591.0,59.86,Republican
178,178,Missouri,2020,6700,5554300,0.12,508,2060,9,1834,217,30.63414634,53.0,8.0,3536981.0,1039364.0,78.0,3.9,29.385,33174.5,60.34,60.99,32.17,37.47,50.3,38.62,64.13,72.27,58.6,9.64,2.404,5587022.0,3435190.0,61.49,Republican
179,179,Montana,2020,900,970400,0.09,65,188,3,85,100,30.63414634,24.0,3.0,613409.0,192039.0,78.5,3.6,31.3,34322.5,57.68,60.6,36.43,33.5,46.23,36.16,61.19,68.75,55.6,9.13,2.673,1952553.0,1133102.0,58.03,Republican
180,180,Nebraska,2020,1800,1897900,0.09,115,287,7,212,68,30.63414634,17.0,3.0,1097687.0,351094.0,84.3,2.65,31.985,34749.5,58.4,59.3,32.08,35.0,49.69,37.02,63.56,70.68,57.29,8.97,2.547,1935357.0,1242788.0,64.21,Republican
181,181,Nevada,2020,11000,2411300,0.46,299,1166,12,860,294,30.63414634,23.0,4.0,1839867.5,436800.0,77.75,6.85,23.73,34254.0,63.85,65.3,36.95,43.21,52.85,44.43,64.8,72.99,63.98,8.33,3.228,2550414.0,1449289.0,56.83,Democratic
182,182,New Hampshire,2020,2700,1378600,0.2,131,291,5,215,71,30.63414634,32.0,4.0,819150.0,293454.0,82.15,3.1,35.81,43303.0,64.22,63.45,36.08,40.69,50.99,39.05,67.39,75.96,62.73,16.63,2.425,1357535.0,814942.0,60.03,Democratic
183,183,New Jersey,2020,30400,7080100,0.43,553,1652,17,1205,430,30.63414634,35.0,2.0,5357576.0,2165598.5,80.8,6.0,40.405,46113.0,70.93,71.88,37.63,43.48,58.6,45.54,74.72,77.94,70.24,13.63,2.521,6006247.0,3317785.0,55.24,Democratic
184,184,New Mexico,2020,2600,1866000,0.14,120,376,24,226,126,30.63414634,32.0,4.0,1188320.0,291539.0,72.55,6.25,24.535,29733.0,63.47,67.09,39.74,40.66,53.65,44.81,63.06,72.04,64.97,9.33,2.438,1783151.0,1094459.0,61.38,Democratic
185,185,New York,2020,32600,11467900,0.28,2036,6134,21,5456,657,30.63414634,72.0,14.0,11691979.0,4318171.0,78.2,6.35,36.925,42467.5,73.79,70.95,40.37,44.38,59.95,46.43,75.72,78.37,71.54,14.87,2.607,11324755.0,6625705.0,58.51,Democratic
186,186,North Carolina,2020,16200,8783700,0.18,813,2267,29,1925,313,30.63414634,54.0,18.0,6140032.0,1923061.5,77.25,4.85,31.315,33637.5,62.53,63.32,32.89,42.88,54.66,41.85,68.29,73.04,62.45,9.43,2.472,8739280.0,5117798.0,58.56,Republican
187,187,North Dakota,2020,200,781600,0.03,42,101,0,58,43,30.63414634,13.0,3.0,444419.5,127357.5,84.05,2.65,28.66,36554.0,52.29,51.74,29.89,30.57,46.06,33.77,54.92,67.62,51.06,8.53,2.515,899083.0,643532.0,71.58,Republican
188,188,Ohio,2020,14500,10336400,0.14,656,1845,22,1441,382,30.63414634,32.0,14.0,6756485.0,1925862.0,78.35,4.65,28.5,33949.5,61.08,61.2,31.3,38.52,51.5,38.79,65.94,74.77,59.36,9.44,2.657,10592317.0,5922375.0,55.91,Republican
189,189,Oklahoma,2020,3400,4001700,0.08,263,693,7,340,346,30.63414634,24.0,3.0,2263494.0,545929.5,75.1,4.8,24.115,29817.5,53.35,55.82,27.9,37.58,47.66,38.88,60.64,68.4,55.27,7.63,2.344,3730247.0,2369663.0,63.53,Republican
190,190,Oregon,2020,22800,3692600,0.62,745,2121,66,1622,433,30.63414634,84.0,8.0,2491011.5,806246.0,77.85,5.3,32.365,37253.0,65.82,69.32,43.59,46.2,53.3,41.79,64.94,74.78,65.18,8.82,3.285,4095442.0,2513136.0,61.36,Democratic
191,191,Pennsylvania,2020,17500,10225900,0.17,757,2054,31,1698,325,30.63414634,47.0,19.0,7459115.5,2404131.5,78.65,5.15,32.225,37059.5,63.73,64.16,33.41,40.81,53.85,40.88,69.21,75.78,63.81,9.7,2.824,10690187.0,6230712.0,58.28,Democratic
192,192,Rhode Island,2020,1600,883100,0.18,148,550,79,433,38,30.63414634,27.0,1.0,642186.5,212080.5,80.5,5.45,33.015,38953.5,67.56,67.19,38.78,43.69,54.22,42.33,68.91,77.03,67.04,18.54,2.494,866584.0,458933.0,52.96,Democratic
193,193,South Carolina,2020,4400,4772400,0.09,309,734,3,610,121,30.63414634,37.0,10.0,2953370.0,823286.5,75.75,4.8,27.87,32317.0,59.54,60.52,31.25,39.52,54.76,41.92,65.98,71.89,60.73,9.9,2.375,4561299.0,2662971.0,58.38,Republican
